id,username,password,address,city,orders,favorites,balance
78751670,dahlia,-1310475198776998325,506 State Road,North Dartmouth,"['0060923156', '0345336283', '0684801582', '0340281030', '0671795325', '0738808245', '0446607347', '0440166675', '0787102296', '0330270982', '067155834X', '0061083461', '0590819097', '3485008702', '0688064256', '0060280603', '1844160815', '0446679550', '0781405262', '1863303235', '0393050041', '5553675456', '0893012505', '2253047821', '0312265565', '0520080319', '0373030983']",[],101.3
41963346,mystagogue,-8007197494475749509,2575 Us Hwy 43,Winfield,"['342105634X', '0689841361', '0028277775']","['0871201089', '0744590116', '3499127326', '0842308083', '0679803211']",57.7
12373483,unaneled,7055682342419265102,3018 East Ave,Central Square,"['0934986517', '0876808836', '0801650879']","['0671887343', '1550139339', '0807012238', '0806968028', '0811816583', '0892965983', '3442437458', '0525941509']",112.8
58550704,fawnfawna,-5896881956644239368,20 Soojian Dr,Leicester,"['0131465155', '0452273803', '0440235715', '0743219570', '0871201089', '0515132810', '0201096676', '0684843102', '0553373781', '1891620754', '0714525995', '3442040280', '0061099155', '067155834X', '0811840417', '1556344473']","['0399135731', '156504018X', '1564135071']",67.6
57971261,alyssa,-2293033661076480934,350 E Fairmount Ave,Lakewood,"['0072119179', '1556344473', '0671795325', '0061001651', '0486219070', '8983140380', '1551662736', '0140377425', '0425178609', '0486419193', '0316690619', '0140304770', '0449201538', '3882436506', '0441003117', '0801980135', '0553233963']","['0517100118', '3505108693', '1550139339', '3442040280']",102.2
41572619,dumdum,-3590355396281215893,2900 Pepperrell Pkwy,Opelika,"['0373250428', '0671886142', '0140564551', '0201096676', '0316734780', '0863563252', '325720227X', '0307020231', '1571454551', '0821734725', '2070393569', '0553217984', '0312289480', '381558034X', '1551665867', '0345445724', '0312851987', '0399147357', '0740721984', '2855655544', '3596118239', '0002554283', '1569315078', '0385304366', '0064406601', '0751501336', '0030107318']","['0394513061', '1902593332', '0736904867']",87.1
89614330,vulpine,-4927706109176103997,970 Torringford Street,Torrington,"['0689841744', '1550139339', '0316540234', '0836215249', '1557132720', '1566044650']","['0091633001', '0312872305', '0380976943', '0340281030', '0939680009', '0553762990']",67.4
89762714,agglutinate,-2785895512794956816,145 Kelley Blvd,Millbrook,['0140083715'],"['0345300815', '207042796X', '2253053546', '381558034X']",86.9
54865244,admiral,6847261591992482536,72 Main St,North Reading,"['0394513061', '1558216707']","['0226848736', '0821774816', '0895550970', '0316690619']",70.8
97690548,devoirs,4919274092341163466,200 Sunrise Mall,Massapequa,"['0553345206', '0751512869', '0553581031', '2841721388', '0395838088', '0687332079', '0131337378', '0373484518', '0140564551', '0781405262', '0515104191', '1853260878', '2742742379', '0373027443', '3596103452', '2266118994', '0140092382', '0865471606', '1858817102']","['0140255842', '0061050474', '0471395242', '0375430784', '1588981770']",139.3
74544796,peculate,9072226538676355280,1501 Hwy 14 East,Selma,"['0743462335', '9507398082', '0517593750', '037302567X', '0394513843', '0425175979', '0446392715', '0451458869', '0070493669', '3442437458', '0671505246', '0688160964', '1850437351', '0373121598', '0140010262', '0385502737', '0843953772', '2020309629', '0718139844', '0020136900', '0002254123', '0373037325', '0811816583', '0449148734', '1558680764', '0552083895', '0394580486', '0451182766', '3453014049', '0394730887', '0812503198', '0671689746', '0312289480']","['1586481304', '0070527091', '0727854119']",138.9
30433092,aweigh,1873065546921124191,742 Main Street,North Oxford,"['0060392177', '1566044650', '0380810255', '0671498940', '0553213636', '0811840417', '0340371900', '0352336188', '0395182794', '0787102296', '0374229430', '1551665867', '0445408286', '0060289333', '0061092606', '0749317884', '0888625456', '0373225490']","['0671009958', '0967277671', '3426666456']",123.8
96884238,flush,-2254500120846615019,872 Route 13,Cortlandville,"['0968125832', '0297836404', '1575440369', '0451625145', '2253039330', '8983140380', '0313224420', '0803287607', '1858813964', '0316690619', '0312851987', '0812509803', '0425098834', '3404242009', '037305257X', '0440115159', '0385502737', '0821774727', '3426666456', '0352336188', '0060414715', '0684822911', '8477272905', '0688095259', '0819309052', '080756625X', '0743449207', '0394467809', '0380976943', '1573245704']",[],148.8
52108073,mendacious,628993577184092534,501 Willow Lane,Greenville,"['0006375340', '0140092382', '0938510886', '0688014674', '3882436506', '0064472922', '0740721984', '0821220012', '0486419193', '0898652014', '0316728985', '0448089386', '3442723809', '0517027488', '1579549276', '0812881796', '0960394621', '0140585354', '044070006X', '0553275496', '8484034119', '1863303235', '0867199024', '0393050041', '0373702000', '0373250428', '055356255X', '0316690619', '0812509803', '0373027443', '0752848089']",[],124.5
29177461,albertinealbertite,4296621423289920415,1916 Center Point Rd,Center Point,"['0394845455', '2855655544', '094205329X', '0688064256', '0802703909', '156504018X', '0373254539', '9507398082', '0671633279', '013032986X', '0751501336', '078949387X', '0843930217', '0786883812', '0960538860', '0061009032', '000617695X', '0609600672', '0140111573', '089594460X', '0486299910', '0747543674', '0399135669', '2207252817', '0679803211', '0441003117', '0394513843', '0380978911', '0553254138', '0394718801', '1863303235', '0394800281', '0312322836', '055340427X']","['0675080746', '0394838041']",62.9
31487153,scholasticism,2784093663522131769,6140A Univ Drive,Huntsville,"['0749317884', '0520080319', '0140367470', '0395182794', '0882640011', '1576731030', '071561472X', '8437606608', '0714525995', '0671633279']",['0061093386'],58.9
92160755,gutturalize,-98028535309048041,6140A Univ Drive,Huntsville,"['0960538860', '0373250428', '0297836404', '0060194839', '2266118994', '0671886142', '0750913088', '0590303244', '0671737724', '0471581453', '0140196269', '070905260X', '0688039626', '0307592618', '0971718016', '0380764040', '3442092639', '8432055999', '0553296167']",['0962619701'],93.5
52078825,semilunar,7396519650812543965,3300 South Oates Street,Dothan,"['0785812148', '0688130305', '0553217984', '1410757609', '0375725520', '0671719785', '0373612680', '1561675679', '0823406520', '3453206622', '0515125652', '0394513061', '2211041221', '0373871864', '0310231612', '0553121952', '0373286597', '2207252817', '0590476092', '0816741948', '0394800281', '0380976943', '1584855207', '0727841939', '1568659350', '037324424X', '0060805110', '0060735422', '0060414715', '0375430784']","['0517881349', '0061050970', '0916872033', '0061009032', '2841721388', '1576832880']",123.9
79674737,soloma,-2721667834203033554,42417 Hwy 195,Haleyville,"['0140092382', '0399135669', '0805070605', '0312185898', '080392514X', '0816738637', '083480252X', '0060219106', '0913299154']",[],72.5
39057878,herder,-691345377457781317,101 South Beltline Highway,Mobile,"['0373250428', '0553259822', '0812817974', '0887330630', '0889821488', '1844160815', '0877018545', '0913299154', '0575056770']","['096267950X', '2070567842', '8449409217', '0061092606']",73.0
95702775,empale,-2945619882084448174,69 Prospect Hill Road,East Windsor,"['0465076157', '1572972491', '0373286597', '0441005969', '0201096676', '0446357472', '0373484518', '3442552362', '088864311X', '0684843102', '0671240315', '0140092382', '0590396358', '0415057701', '0373762224', '0609600672', '0441873626', '0373834330', '0060081961', '1562824201', '0373258917']","['0864425449', '3779702614', '0316507415', '0671719785', '0812566750', '0330297066']",62.6
24429916,along,-6265128437374129811,120 Commercial Parkway,Branford,"['0449201538', '158062619X', '0807046310', '8120807731', '0451137116', '094205329X', '3442040280', '0684809001', '0061092606', '0670860859', '3453206622', '0373287283', '0380703211', '0471543977', '0373484518', '0965453561', '0872390365', '0684843102', '0451406850', '0352336188', '0142400769', '157778037X', '0802730213', '0787102296', '0373245289', '0877018545', '0743449207', '0060972335', '0890838518', '0801980135', '0821734725', '0316140074', '1891620754', '0373027443', '2290309338', '1850437351', '0805070605', '0440488133', '0553254138']",[],61.6
10405875,lamelliform,-1092028766824280419,1007 Red Farmer Drive,Hueytown,"['0553209434', '0821774727', '158062619X', '0879239212', '8445071513', '0670628301', '1573245704', '1929590059', '1561675679', '0553233963', '0684801582', '0385233590', '0373702000', '0933884184', '0062512668', '0373834330', '0740721984', '3803505496', '0812550862', '0449908798', '3442437458', '0345352440', '0802703909', '0764150391', '0812513495', '0830713255', '0333315545', '0802730825', '0140443290', '0373484518', '0373201036', '8432055999', '3257230982', '0878793380', '0914061615', '0395522463']",['1551660059'],79.5
71348659,chaste,-7258937139213199453,1450 No Brindlee Mtn Pkwy,Arab,[],"['9722110195', '3505108693']",83.8
18880689,altercation,-7702265497863533398,34301 Hwy 43,Thomasville,"['0061099155', '0373258917', '0586086978', '0192545159', '0747247196', '156504018X', '0345336283', '1570083371', '082300239X', '0671516752', '3505108693', '0679735968', '0812817974', '0821748076', '087065179X', '0967005604', '0903505312', '1853463949', '0898652014', '0843953276', '0395271029', '0782124690']","['0373245289', '0451169158', '0399135731', '0385318979', '0060000791', '088864311X']",83.8
14024929,masterwork,3983832670626749274,1420 Us 231 South,Troy,"['0295972254', '0842308083', '1581121717', '0375703861', '0802703909', '0439141001', '0658014870', '2867441382', '0205322441', '0743449207', '0786708123', '1572972491', '0140304770', '0688163440', '038079781X', '0785276122', '1591820014', '0312859228', '3404242009', '0898652014', '8470021818', '0914294083', '1579549276', '075700038X', '0812817974', '0440237424', '0399136665', '0887291228', '0816738637', '0140313834', '0934986517', '0373252528']",['158567169X'],123.5
44443724,jospeh,-8502150945727651155,6350 Cottage Hill Road,Mobile,"['0441003117', '0297836404', '0689831528', '5553675456', '0061083461', '1587670585', '0140097732', '0871315408', '8477272905', '0809224348', '0373037325', '847844422X', '0553560719', '096267950X', '0841617805', '0671737724', '013032986X', '0516016105', '0486299910', '0708842186', '0395623650', '1892213958', '0887291228', '0764553410', '0131038052', '0670628301', '2211041221']","['0960538860', '3442437458', '0061070173', '0553252917', '0816513619', '1883055067']",102.6
53455637,submicroscopic,-9072596549963217092,3191 County rd 10,Canandaigua,[],"['158567169X', '0374229430', '1853260975', '0380978911']",123.9
25915176,dysthymia,-6362968305457699222,5245 Rangeline Service Rd,Mobile,"['8120807731', '0687332079', '0330270982', '1557132720', '0060923156', '0743406397', '0821749439', '0448405393', '0609601377']","['3442092639', '0070493669', '055328357X', '0440235715', '0670860859', '0060194448', '1557232520', '2855655544']",82.5
15977039,oler,-5311703453095485940,1100 New Haven Road,Naugatuck,"['0876667779', '0553233963', '0965699862', '1570083371', '0745316913', '0618219021', '0816741948', '1555832660', '0399136665', '0688144500', '0425171272', '0394800281', '0671020579', '1572972491', '1569315078', '3404129067', '0821734725', '0743412508', '0439312930', '0156001896', '0812881796', '0805070605', '0425178609', '0131337378', '0670860859', '0451625145', '0140028978', '1843336235', '0020136900', '0517101157', '0812503198', '0553241354', '8445071513', '1575440369', '0877018545']","['0671434675', '0316122203', '0002261804']",86.6
57724003,doubtful,-887994210111180378,255 W Main St,Avon,"['0440404517', '089594460X', '0609600672', '1576731030', '0960538860', '0849936861', '8470021818', '0449912302', '8423976610', '345312698X', '031286261X', '8440681186', '0030615224', '221302121X', '0446601578', '1889593583', '0965413659', '006009298X', '189694101X']","['0671519816', '038517201X', '0316690619', '0809096897', '0688140963', '0446603414', '0452268664', '3423121319']",50.4
18633067,proselytize,2635599893691249811,780 Lynnway,Lynn,"['0373027443', '1568304331', '0821772163', '0465024718', '0345426118', '1551660059', '0679003142', '8983140380', '0380703211', '0373254539', '0060280603', '0771025505', '1557100160', '0937750018', '0070527091', '0380783002', '2020482363', '8120807731', '3442552362', '1555832660', '0394890566', '0515132268', '8408020374', '0708842186', '1573061301', '0553213636', '0062512668', '078949387X', '2290125903', '0684838419', '0801980135', '0060194839', '0345368762', '031286261X', '0802703909', '0141186151', '0312974566', '0684854279', '0373250428']","['0399512330', '3518405217']",105.1
20552607,desertion,1789091579017212451,5245 Rangeline Service Rd,Mobile,"['0816505837', '0440404517', '0061050970', '0595220452', '0553233963', '0394890566', '0060414715', '0263135527', '0671665537', '0333906306', '2070378551', '1550139339', '0812926714', '0486419193', '0595133789', '0205322441', '0786203358', '1885171013', '0345334957', '0385195710', '1564581837', '0671218638', '0060219106', '0771025505', '0345352505', '0060280603', '1889593583', '014027880X', '0679734058', '3518405217', '0345300815', '0006375340', '0486295354', '0736904867', '0451406850']","['0375725520', '1883055067', '0394588207', '1555832660', '0968125832', '0688130305']",134.7
32568706,prothesis,-7216053983736529994,150 Gold Star Hwy,Groton,"['3442552362', '0743462335', '0340717238', '3442442923', '0451207998', '0552083895', '1591291852', '067943545X', '2266117564']","['0425178609', '0878795383', '0425173615']",104.3
99678581,corinthians,-5956887643410694753,630 Coonial Promenade Pkwy,Alabaster,"['0553156632', '0373037325', '1557232520', '1561675679', '1578564980', '0312288549', '0878793380', '0385473796', '0140585354', '014130894X', '0373287283', '0434791164', '3518394312', '0688140963', '0805070605']",[],130.3
57138819,masseter,7918414828485412532,2800 Spring Avn SW,Decatur,"['014027944x', '0764150391', '0590396358', '0714525995', '1576731030', '0778320073', '0394558480', '0671719785', '0316507415', '0297836404', '0064441407', '0486419193', '067943545X', '0316122203', '0609600672', '0385285019', '0002554283', '8401376513', '0843930217', '0517536064', '0743406397', '0688160964', '0933884184', '1558680764']",[],66.8
86547495,noodlehead,-7761029220165502220,7855 Moffett Rd,Semmes,"['2253045039', '0671633279', '015696256X', '1885171013', '0671792369', '0671318586', '0812926714', '1578564611', '0345300815', '0440115159', '0394838041', '2253047821', '0307020231', '0812503198', '0345252985', '0373037325', '0789477858', '0060972335', '0811805530', '0785276122', '0812509803', '0486260992', '0671886142', '0882640011', '0070493669', '8484542327', '0064432483', '0842308083', '037324424X']","['0789722402', '0061003824', '0553209434', '0515104191', '2207303322', '155583163X', '0761504524', '0812559568']",87.5
30707757,harass,-8963059985045261769,297 Grant Avenue,Auburn,"['0471395242', '1593553196', '0002554283', '0884043142', '0399136665', '000617695X', '0140196269', '0394878655', '555600000X', '0446353485', '0747543674', '0586086978', '0451625145', '3596118239', '1588981770', '0345445724', '0517528436', '0515132810', '0843953772', '0515132268', '1853262269', '0448417049', '0553567683', '325720227X', '0345426118', '0394513061', '0553217984', '0446678589']","['0310231612', '0786864133', '0312321953', '1853260975', '0061083461', '0684811502', '0590819097']",59.4
97975992,clipping,7461329324115958022,164 Danbury Rd,New Milford,"['9722110195', '0307020223', '0684857081', '0671633279', '0886779553', '0449908798', '0878577475', '0373702000', '0553213636', '0749305606', '0312135300', '1896597440', '1902593332', '0451198212', '0960394621', '0821774727', '0425168131', '0395419174', '0786203358', '0553218158', '0964967804', '0834803534', '0373484518']","['0840777094', '1591290902', '0687332079', '0448405393', '0879517328', '0679735968']",135.3
64300427,valenciavalenciennes,-4877673497611766671,851 Ann St,Montgomery,"['1551668947', '0385233590', '3257218699', '1863303790', '0425169685', '0786708123']","['189694101X', '0890439702']",61.4
48445311,ahem,-5700689332798790106,288 Larkin,Monroe,"['0671707434', '0192141945', '3423129662', '0821220012', '0812559568', '1853262269', '1892213958', '8484542327', '0877014213', '0876808836', '0345369483', '0785276122', '088864311X', '0679446346', '0385316550', '0373242662', '0671665537', '1564135071', '1568659350', '0316728985', '0878795383', '0449201538', '1587882337', '0892965320', '0394730887', '0385420242', '3779702614', '0919946097', '3442437458', '0515132268', '1564588890', '0380976943', '0451458281', '0801980135', '1591162203', '0670033049', '3404149173']","['0385502737', '0515104191', '1878887343', '0312280556', '0529053241']",136.1
